epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2028.85,1.29792,1.68212,1.08057,0.96194,0.94469,0.96856,0.56958,1.48675,1.79968,1.17883,0.004159,0.004159,0.004159
61,2062.7,1.26497,1.63384,1.0655,0.83015,0.70164,0.77449,0.42503,1.75421,2.51261,1.33505,0.00406,0.00406,0.00406
62,2096.34,1.2726,1.6322,1.07845,0.92953,0.9041,0.93431,0.55408,1.50682,1.84716,1.20354,0.003961,0.003961,0.003961
63,2129.81,1.24598,1.6332,1.05218,0.97625,0.9579,0.97811,0.57538,1.48284,1.74814,1.17854,0.003862,0.003862,0.003862
64,2163.46,1.20233,1.60331,1.04853,0.76034,0.7077,0.70735,0.39247,1.68309,4.90131,1.31507,0.003763,0.003763,0.003763
65,2197.05,1.24353,1.59403,1.06502,0.9741,0.95299,0.97686,0.57129,1.49038,1.73028,1.18359,0.003664,0.003664,0.003664
66,2230.73,1.227,1.54093,1.05119,0.97266,0.96361,0.97865,0.56791,1.50951,1.73477,1.19312,0.003565,0.003565,0.003565
67,2264.42,1.22836,1.56189,1.05315,0.96683,0.86546,0.929,0.54285,1.53522,1.98234,1.21455,0.003466,0.003466,0.003466
68,2298.1,1.22064,1.5362,1.04869,0.97318,0.95898,0.97579,0.56414,1.50557,1.70857,1.20019,0.003367,0.003367,0.003367
69,2331.66,1.19752,1.50254,1.0448,0.95519,0.89398,0.93476,0.55202,1.51574,1.86916,1.20268,0.003268,0.003268,0.003268
70,2365.26,1.19562,1.51351,1.04795,0.97846,0.95872,0.97733,0.5724,1.4967,1.70299,1.18878,0.003169,0.003169,0.003169
71,2398.91,1.19573,1.52999,1.04237,0.95198,0.80894,0.8958,0.52113,1.5437,2.28714,1.22557,0.00307,0.00307,0.00307
72,2432.49,1.18947,1.51233,1.03623,0.96625,0.97063,0.97529,0.56756,1.49267,1.71052,1.19141,0.002971,0.002971,0.002971
73,2466.07,1.19859,1.51846,1.05045,0.83488,0.78163,0.82847,0.48051,1.54324,2.35171,1.22511,0.002872,0.002872,0.002872
74,2499.64,1.20744,1.50424,1.04848,0.95796,0.95886,0.96979,0.56435,1.52903,1.72983,1.21446,0.002773,0.002773,0.002773
75,2533.24,1.16053,1.44523,1.03904,0.97678,0.9711,0.97873,0.56468,1.51358,1.65948,1.20894,0.002674,0.002674,0.002674
76,2566.8,1.15607,1.44287,1.02976,0.96885,0.96539,0.97611,0.57033,1.51544,1.65492,1.201,0.002575,0.002575,0.002575
77,2600.45,1.17951,1.45695,1.04424,0.62051,0.4821,0.57996,0.28942,1.94748,3.62311,1.46019,0.002476,0.002476,0.002476
78,2634.01,1.17409,1.46442,1.03575,0.95495,0.93997,0.96331,0.55828,1.51716,1.80325,1.22077,0.002377,0.002377,0.002377
79,2667.67,1.17149,1.44708,1.04162,0.93637,0.79857,0.8803,0.5088,1.53846,2.27174,1.22753,0.002278,0.002278,0.002278
80,2701.24,1.15795,1.44246,1.02817,0.96902,0.97064,0.97642,0.56154,1.53121,1.66431,1.22638,0.002179,0.002179,0.002179
81,2734.93,1.13876,1.41415,1.03577,0.97545,0.96174,0.97778,0.55917,1.54418,1.69833,1.22124,0.00208,0.00208,0.00208
82,2768.63,1.12338,1.40846,1.01536,0.97896,0.9614,0.97606,0.56638,1.53437,1.64964,1.2233,0.001981,0.001981,0.001981
83,2802.27,1.14035,1.40931,1.02835,0.96947,0.94523,0.96689,0.55765,1.55274,1.75002,1.21195,0.001882,0.001882,0.001882
